File name,Class,Number of faces,Number of vertices,Type of faces,Bounding box
m1337,AircraftBuoyant,20736,10489,[3],[-0.455091  0.453177 -0.453665  0.454599 -0.403396  0.596604]
m1339,AircraftBuoyant,10457,5647,[3],[-0.306697  0.304713 -0.315272  0.315337 -0.624809  0.375191]
m1340,AircraftBuoyant,14792,7494,[3],[-0.172906  0.172633 -0.172889  0.172652 -0.583786  0.416214]
m1341,AircraftBuoyant,20040,10051,[3],[-0.17669   0.17669  -0.176674  0.176707 -0.574975  0.425025]
m1342,AircraftBuoyant,15749,8014,[3],[-0.30425   0.307712 -0.303406  0.30444  -0.536     0.464   ]
m1343,AircraftBuoyant,20998,10505,[3],[-0.350687  0.343505 -0.347385  0.34695  -0.486935  0.513065]
m1344,AircraftBuoyant,12528,6538,[3],[-0.340449  0.340451 -0.340395  0.340503 -0.364746  0.635254]
m1345,AircraftBuoyant,21752,11264,[3],[-0.302603  0.302313 -0.302623  0.302292 -0.355457  0.644543]
m1346,AircraftBuoyant,16520,8382,[3],[-0.160421  0.152101 -0.172106  0.170229 -0.476887  0.523113]
m1347,AircraftBuoyant,14414,7253,[3],[-0.150099  0.149154 -0.253107  0.160303 -0.439156  0.560844]
m1348,AircraftBuoyant,16536,8390,[3],[-0.151784  0.160251 -0.171896  0.17075  -0.476551  0.523449]
m1349,AircraftBuoyant,17438,8831,[3],[-0.127818  0.126873 -0.195013  0.145871 -0.513918  0.486082]
m1350,AircraftBuoyant,10448,5354,[3],[-0.132703  0.13272  -0.103559  0.193752 -0.616396  0.383604]
m1352,AircraftBuoyant,17532,8851,[3],[-0.163347  0.163195 -0.192195  0.181055 -0.532877  0.467123]
D00348,Apartment,8925,5190,[3],[-0.129266  0.479196 -0.26508   0.313902 -0.48637   0.51363 ]
D00366,Apartment,28662,14409,[3],[-0.347088  0.422261 -0.459809  0.41235  -0.491106  0.508894]
D00496,Apartment,9414,5290,[3],[-0.193087  0.19123  -0.670105  0.329895 -0.406     0.407775]
D00639,Apartment,27074,13960,[3],[-0.296763  0.277913 -0.303691  0.317999 -0.589479  0.410521]
D00792,Apartment,10489,5768,[3],[-0.19018   0.444069 -0.504888  0.381213 -0.525452  0.474548]
D00859,Apartment,14188,7506,[3],[-0.20569   0.105802 -0.332178  0.285082 -0.505368  0.494632]
D00869,Apartment,7915,4854,[3],[-0.256281  0.29714  -0.303719  0.302357 -0.499676  0.500324]
D00953,Apartment,14589,8498,[3],[-0.259992  0.245413 -0.542517  0.457483 -0.467272  0.430944]
m463,Apartment,11525,5987,[3],[-0.290504  0.289898 -0.401093  0.398404 -0.421175  0.578825]
m465,Apartment,13525,6926,[3],[-0.109335   0.0980789 -0.0905728  0.184972  -0.550132   0.449868 ]
m58,AquaticAnimal,11606,5805,[3],[-0.23493   0.278245 -0.206483  0.269006 -0.530286  0.469714]
m59,AquaticAnimal,14886,7464,[3],[-0.0873286  0.0873187 -0.0827359  0.0721522 -0.503072   0.496928 ]
m60,AquaticAnimal,10448,5226,[3],[-0.169157  0.169163 -0.181524  0.216298 -0.386702  0.613298]
m61,AquaticAnimal,16654,8519,[3],[-0.0895551  0.088836  -0.242904   0.186626  -0.60602    0.39398  ]
m62,AquaticAnimal,17830,8917,[3],[-0.0523453  0.0528212 -0.360481   0.371125  -0.528016   0.471984 ]
m63,AquaticAnimal,16635,8591,[3],[-0.368496  0.384644 -0.280352  0.38918  -0.353115  0.646885]
m64,AquaticAnimal,17189,8731,[3],[-0.0783068  0.0798215 -0.288012   0.260337  -0.561223   0.438777 ]
m65,AquaticAnimal,16608,8369,[3],[-0.200996  0.200314 -0.286976  0.323242 -0.320242  0.679758]
m66,AquaticAnimal,19889,10297,[3],[-0.210972  0.173519 -0.207027  0.2039   -0.40881   0.59119 ]
m68,AquaticAnimal,11748,5878,[3],[-0.0842999  0.0853492 -0.123087   0.136106  -0.531117   0.468883 ]
m69,AquaticAnimal,18612,9365,[3],[-0.161019   0.0954142 -0.158056   0.159516  -0.594453   0.405547 ]
m70,AquaticAnimal,18196,9166,[3],[-0.0727105  0.173042  -0.218092   0.217661  -0.531082   0.468918 ]
m71,AquaticAnimal,21210,10607,[3],[-0.150856  0.150224 -0.231508  0.137008 -0.546665  0.453335]
m72,AquaticAnimal,20250,10169,[3],[-0.0755561  0.16324   -0.213958   0.213525  -0.466773   0.533227 ]
m73,AquaticAnimal,20794,10407,[3],[-0.169756  0.170902 -0.341661  0.224361 -0.512104  0.487896]
m74,AquaticAnimal,16366,8244,[3],[-0.181663  0.15696  -0.153291  0.167957 -0.618699  0.381301]
m75,AquaticAnimal,19442,9796,[3],[-0.180426   0.0996784 -0.25393    0.253989  -0.453992   0.546008 ]
m76,AquaticAnimal,19102,9553,[3],[-0.190173  0.193018 -0.160833  0.176529 -0.602716  0.397284]
m78,AquaticAnimal,18630,9482,[3],[-0.182711  0.166065 -0.232509  0.16527  -0.459772  0.540228]
m79,AquaticAnimal,10503,5515,[3],[-0.12332    0.0663293 -0.112825   0.129291  -0.456682   0.543318 ]
m80,AquaticAnimal,17926,9094,[3],[-0.200839  0.094306 -0.225736  0.184212 -0.564564  0.435436]
m81,AquaticAnimal,14307,7284,[3],[-0.0947114  0.168006  -0.19593    0.183475  -0.54436    0.45564  ]
D00031,Bed,11192,5797,[3],[-0.162926  0.187932 -0.466313  0.415994 -0.31204   0.68796 ]
D00110,Bed,9351,4824,[3],[-0.245571  0.105305 -0.370722  0.343259 -0.531442  0.468558]
D00213,Bed,10907,5479,[3],[-0.126644  0.223396 -0.240314  0.241855 -0.66338   0.33662 ]
D00217,Bed,10648,5426,[3],[-0.130319  0.19917  -0.245264  0.245263 -0.500956  0.499044]
D00307,Bed,13523,6934,[3],[-0.226326   0.0934422 -0.601571   0.398429  -0.425989   0.511613 ]
D00545,Bed,24566,12384,[3],[-0.243608  0.226313 -0.326533  0.346687 -0.479176  0.520824]
D00565,Bed,14540,7380,[3],[-0.103678  0.197888 -0.36083   0.357143 -0.718058  0.281942]
D00650,Bed,12722,6402,[3],[-0.210769  0.189218 -0.259793  0.259838 -0.512134  0.487866]
D00735,Bed,13161,6965,[3],[-0.244238  0.213648 -0.32759   0.320383 -0.686956  0.313044]
D00836,Bed,26468,13364,[3],[-0.241062  0.15978  -0.183173  0.185683 -0.453259  0.546741]
D00988,Bed,14342,7203,[3],[-0.226697  0.16142  -0.335915  0.324886 -0.51549   0.48451 ]
m946,Bed,23400,11895,[3],[-0.313564  0.176431 -0.245996  0.246047 -0.50046   0.49954 ]
m947,Bed,19978,10178,[3],[-0.243872  0.166141 -0.355088  0.354575 -0.50604   0.49396 ]
m948,Bed,18370,9263,[3],[-0.575839  0.361209 -0.488531  0.511469 -0.41878   0.573736]
m949,Bed,15672,7848,[3],[-0.305863  0.286693 -0.558257  0.441743 -0.549827  0.427954]
m950,Bed,18968,9641,[3],[-0.365296  0.366363 -0.557827  0.394839 -0.510308  0.489692]
m951,Bed,19396,10072,[3],[-0.310547  0.155381 -0.381632  0.427646 -0.312596  0.687404]
D00016,Bicycle,11702,6144,[3],[-0.10907    0.0974046 -0.408656   0.268984  -0.501773   0.498227 ]
D00033,Bicycle,9750,5339,[3],[-0.150234  0.149064 -0.241413  0.337781 -0.492714  0.507286]
D00567,Bicycle,22270,11113,[3],[-0.139491  0.139953 -0.262777  0.337122 -0.500831  0.499169]
D00621,Bicycle,11694,6140,[3],[-0.0973907  0.109091  -0.269007   0.408612  -0.501826   0.498174 ]
D00750,Bicycle,13370,6856,[3],[-0.151828  0.155766 -0.419488  0.365606 -0.468241  0.531759]
m1472,Bicycle,21471,10973,[3],[-0.202653  0.198847 -0.313124  0.324777 -0.514886  0.485114]
m1473,Bicycle,9750,5339,[3],[-0.150234  0.149065 -0.241413  0.337781 -0.492714  0.507286]
m1476,Bicycle,22522,11239,[3],[-0.139644  0.139838 -0.336687  0.265658 -0.498169  0.501831]
m1478,Bicycle,11702,6144,[3],[-0.10907    0.0974042 -0.268984   0.408656  -0.498227   0.501773 ]
D00069,Biplane,17564,8914,[3],[-0.104236  0.101385 -0.326383  0.189559 -0.500004  0.499996]
D00132,Biplane,12426,6475,[3],[-0.0710187  0.118118  -0.452498   0.20364   -0.500001   0.499999 ]
D00178,Biplane,16461,9468,[3],[-0.123539  0.096214 -0.496443  0.503557 -0.440107  0.257547]
D00199,Biplane,9188,5551,[3],[-0.17281   0.113438 -0.515191  0.252163 -0.498813  0.501187]
D00246,Biplane,9244,5025,[3],[-0.0999669  0.0672258 -0.327073   0.191507  -0.499672   0.500328 ]
D00276,Biplane,21034,10605,[3],[-0.237055  0.199571 -0.501179  0.498821 -0.313753  0.499008]
D00410,Biplane,13176,6628,[3],[-0.0915803  0.112247  -0.327956   0.18864   -0.499362   0.500638 ]
D00632,Biplane,9600,4964,[3],[-0.159023  0.12387  -0.500018  0.499982 -0.486748  0.300771]
D00666,Biplane,16934,8660,[3],[-0.079546  0.142378 -0.49828   0.50172  -0.53815   0.428728]
m1119,Biplane,12042,6118,[3],[-0.151552  0.195115 -0.623973  0.227313 -0.500524  0.499476]
m1121,Biplane,14132,7242,[3],[-0.182886  0.136905 -0.498624  0.501376 -0.275482  0.516672]
m1123,Biplane,11676,6051,[3],[-0.139099  0.133261 -0.499939  0.500061 -0.452258  0.243726]
m1124,Biplane,13702,7046,[3],[-0.0980904  0.0882839 -0.497466   0.502534  -0.259681   0.366976 ]
m1125,Biplane,17398,8936,[3],[-0.109845  0.149493 -0.498247  0.501753 -0.303532  0.507259]
m1126,Biplane,9278,4803,[3],[-0.131058   0.0828472 -0.500205   0.499795  -0.423733   0.374842 ]
m1127,Biplane,13952,7130,[3],[-0.109329   0.0943239 -0.499983   0.500017  -0.519982   0.288816 ]
m1128,Biplane,10448,5405,[3],[-0.07971   0.143211 -0.499739  0.500261 -0.474141  0.495658]
m1129,Biplane,15792,8201,[3],[-0.132351  0.163414 -0.214944  0.499204 -0.498968  0.501032]
m1131,Biplane,18430,9364,[3],[-0.130668   0.0810353 -0.499994   0.500006  -0.329007   0.391351 ]
m1132,Biplane,10054,5260,[3],[-0.0772188  0.0995091 -0.499814   0.500186  -0.338964   0.39434  ]
m1133,Biplane,9600,4964,[3],[-0.159023  0.12387  -0.499982  0.500018 -0.300771  0.486748]
m1134,Biplane,10934,5637,[3],[-0.0473783  0.0961418 -0.239139   0.300795  -0.500021   0.499979 ]
m1135,Biplane,11550,5996,[3],[-0.0793215  0.0859121 -0.286415   0.253566  -0.500005   0.499995 ]
m1136,Biplane,11494,5875,[3],[-0.131135   0.0671304 -0.499947   0.500053  -0.200463   0.351093 ]
m1137,Biplane,14206,7354,[3],[-0.0614035  0.0594938 -0.295069   0.165999  -0.501441   0.498559 ]
m1138,Biplane,15269,8155,[3],[-0.177776  0.174055 -0.481725  0.481234 -0.414223  0.585777]
m1139,Biplane,9758,5921,[3],[-0.13599   0.12748  -0.364266  0.295117 -0.4998    0.5002  ]
m1143,Biplane,17916,9114,[3],[-0.102031  0.103744 -0.190691  0.32532  -0.499977  0.500023]
m1144,Biplane,13517,7109,[3],[-0.159198  0.104588 -0.504969  0.495031 -0.53397   0.195576]
m1146,Biplane,10959,5766,[3],[-0.199546   0.0695918 -0.45284    0.452848  -0.522748   0.477252 ]
