File name,Class,Number of faces,Number of vertices,Type of faces,Bounding box
m1337,AircraftBuoyant,20736,10489,[3],[0.02844758 0.88590778 0.025      0.96890076 0.02842639 0.88588806]
m1339,AircraftBuoyant,10457,5647,[3],[0.0260415  0.6060305  0.02538954 0.975      0.026814   0.624998  ]
m1340,AircraftBuoyant,14792,7494,[3],[0.03260096 0.36008508 0.02526468 0.97403441 0.0326014  0.3600876 ]
m1341,AircraftBuoyant,20040,10051,[3],[0.03529267 0.36928246 0.0279225  0.97305167 0.03529267 0.36928246]
m1342,AircraftBuoyant,15749,8014,[3],[0.03403989 0.60694276 0.02640195 0.97288653 0.0285928  0.60419472]
m1343,AircraftBuoyant,20998,10505,[3],[0.04176752 0.69415332 0.02671364 0.96490697 0.04176752 0.69415324]
m1344,AircraftBuoyant,12528,6538,[3],[0.02707898 0.67202234 0.025      0.97217497 0.02707276 0.67201811]
m1345,AircraftBuoyant,21752,11264,[3],[0.02649075 0.59981488 0.0250944  0.97197848 0.02649038 0.59981425]
m1346,AircraftBuoyant,16520,8382,[3],[0.02581606 0.32126294 0.02944682 0.354011   0.02607106 0.9706419 ]
m1347,AircraftBuoyant,14414,7253,[3],[0.02635725 0.310727   0.025201   0.41824606 0.025      0.97457575]
m1348,AircraftBuoyant,16536,8390,[3],[0.02585387 0.32083881 0.02919677 0.35410419 0.02605434 0.97067703]
m1349,AircraftBuoyant,17438,8831,[3],[0.03198258 0.97404026 0.02544463 0.35505796 0.03034887 0.27113824]
m1350,AircraftBuoyant,10448,5354,[3],[0.02935607 0.9723571  0.03313922 0.28317762 0.02542149 0.30316798]
m1352,AircraftBuoyant,17532,8851,[3],[0.02522456 0.96556721 0.02561075 0.376337   0.02530463 0.3323165 ]
D00348,Apartment,8925,5190,[3],[-0.93022     0.72361362 -0.4061815   0.56263412 -0.766204    0.20441213]
D00366,Apartment,28662,14409,[3],[-0.86712876  0.73069619 -0.84348206  0.56601922 -0.65702372  0.51998122]
D00496,Apartment,9414,5290,[3],[-0.61934811  1.04981237 -0.69242388  0.81932213 -0.3387835   0.2551985 ]
D00639,Apartment,27074,13960,[3],[-0.53541813  1.13627875 -0.5328615   0.48527162 -0.6729755   0.4374225 ]
D00792,Apartment,10489,5768,[3],[-0.55186595  1.02805743 -0.88176835  0.89430921 -0.60251889  0.69238089]
D00859,Apartment,14188,7506,[3],[-0.81067594  1.01144215 -0.68139366  0.57410888 -0.3275735   0.20246945]
D00869,Apartment,21225,11688,[3],[-0.98161212  0.68784612 -0.518514    0.64173737 -0.374334    0.54902766]
D00953,Apartment,14589,8498,[3],[-0.9260945   0.52965187 -0.81662262  0.68793813 -0.43792475  0.46463863]
m463,Apartment,11525,5987,[3],[0.025    0.785029 0.025    0.975    0.025    0.574765]
m465,Apartment,13525,6926,[3],[0.025      0.2170165  0.0250005  0.97435806 0.0250065  0.2515135 ]
m58,AquaticAnimal,11606,5805,[3],[0.02795443 0.53376108 0.02725544 0.49801787 0.02898997 0.96638069]
