File name,Class,Number of faces,Number of vertices,Type of faces,Bounding box
m1337,AircraftBuoyant,201,201,[3],[0.025    0.889234 0.025    0.975    0.025    0.889234]
m1338,AircraftBuoyant,8761,8761,[3],[0.025    0.933058 0.025    0.975    0.025    0.937901]
m1339,AircraftBuoyant,1878,1878,[3],[0.025    0.607072 0.025    0.975    0.025    0.626812]
m1340,AircraftBuoyant,778,778,[3],[0.025    0.367686 0.025    0.975    0.025    0.367689]
m1341,AircraftBuoyant,425,425,[3],[0.025    0.379575 0.025    0.975    0.025    0.379575]
m1342,AircraftBuoyant,1252,1252,[3],[0.025    0.611587 0.025    0.975    0.025    0.60936 ]
m1343,AircraftBuoyant,178,178,[3],[0.025    0.710921 0.025    0.975    0.025    0.710921]
m1344,AircraftBuoyant,1093,1093,[3],[0.025    0.674099 0.025    0.975    0.025    0.6741  ]
m1345,AircraftBuoyant,3174,3174,[3],[0.025    0.601277 0.025    0.975    0.025    0.601277]
m1346,AircraftBuoyant,742,742,[3],[0.025    0.322079 0.025    0.354725 0.025    0.975   ]
m1347,AircraftBuoyant,3055,3055,[3],[0.025    0.312086 0.025    0.419881 0.025    0.975   ]
m1348,AircraftBuoyant,795,795,[3],[0.025    0.321693 0.025    0.354958 0.025    0.975   ]
m1349,AircraftBuoyant,432,432,[3],[0.025    0.975    0.025    0.385203 0.025    0.273648]
m1350,AircraftBuoyant,1097,1097,[3],[0.025    0.975    0.025    0.291317 0.025    0.305022]
m1351,AircraftBuoyant,12987,12987,[3],[0.025    0.2083   0.025    0.219243 0.025    0.975   ]
m1352,AircraftBuoyant,3298,3298,[3],[0.025    0.975    0.025    0.376642 0.025    0.332621]
D00045,Apartment,14865,14865,[3],[-0.613186  0.829027 -0.700915  0.770415 -0.532017  0.354253]
D00086,Apartment,20493,20493,[3],[-0.920883  0.863162 -0.343487  1.32482  -0.415469  0.293879]
D00138,Apartment,10827,10827,[3],[-0.782682  0.776339 -0.514535  0.633157 -0.317783  0.198885]
D00156,Apartment,12732,12732,[3],[-0.81948   0.881168 -0.742071  0.842832 -0.667138  0.566733]
D00310,Apartment,14464,14464,[3],[-0.744656  1.03298  -0.389316  0.494357 -0.368775  0.339434]
D00348,Apartment,2006,2006,[3],[-0.94171   0.725458 -0.40949   0.566411 -0.813025  0.205192]
D00366,Apartment,1294,1294,[3],[-0.895467  0.745644 -0.856715  0.59104  -0.663917  0.529402]
D00478,Apartment,19857,19857,[3],[-0.780623  0.910492 -0.760414  0.404719 -0.478043  0.451362]
D00496,Apartment,7737,7737,[3],[-0.643419  1.15353  -0.704659  0.878216 -0.341188  0.259608]
D00626,Apartment,73184,73184,[3],[-0.885934  0.906987 -0.597769  0.33114  -0.512373  0.382066]
D00639,Apartment,4849,4849,[3],[-0.542818  1.14108  -0.544259  0.500059 -0.687879  0.449116]
D00651,Apartment,12732,12732,[3],[-0.948858  0.916559 -0.950931  0.904251 -0.556634  0.661818]
D00681,Apartment,13823,13823,[3],[-0.681671  1.09453  -0.790363  0.587597 -0.471744  0.656092]
D00780,Apartment,8240,8240,[3],[-0.977731  0.789199 -0.618236  0.449639 -0.189083  0.33395 ]
D00792,Apartment,1327,1327,[3],[-0.795163  1.10354  -0.965409  0.963376 -0.669296  0.859246]
D00859,Apartment,1378,1378,[3],[-0.824176  1.07379  -0.692473  0.611025 -0.33128   0.211846]
D00860,Apartment,19857,19857,[3],[-0.764923  0.927037 -0.760034  0.399913 -0.474753  0.451175]
D00869,Apartment,4930,4930,[3],[-0.984513  0.688383 -0.521765  0.644962 -0.380646  0.551785]
D00921,Apartment,12842,12842,[3],[-0.850705  0.822601 -0.487423  0.545748 -0.558467  0.554978]
D00953,Apartment,4158,4158,[3],[-0.949201  0.665321 -0.826799  0.896079 -0.444887  0.51871 ]
m463,Apartment,2022,2022,[3],[0.025    0.785029 0.025    0.975    0.025    0.574765]
m464,Apartment,8301,8301,[3],[0.025    0.347449 0.025    0.975    0.025    0.296305]
m465,Apartment,2335,2335,[3],[0.025    0.21702  0.025    0.975    0.025    0.251523]
m53,AquaticAnimal,18409,18409,[3],[0.025    0.163371 0.025    0.348761 0.025    0.975   ]
m54,AquaticAnimal,18143,18143,[3],[0.025    0.254899 0.025    0.371143 0.025    0.975   ]
m55,AquaticAnimal,19505,19505,[3],[0.025    0.18151  0.025    0.380146 0.025    0.975   ]
m56,AquaticAnimal,5814,5814,[3],[0.025    0.168956 0.025    0.367452 0.025    0.975   ]
m57,AquaticAnimal,18878,18878,[3],[0.025    0.143963 0.025    0.389443 0.025    0.975   ]
m58,AquaticAnimal,477,477,[3],[0.025    0.537049 0.025    0.500211 0.025    0.975   ]
m59,AquaticAnimal,44,44,[3],[0.025 0.225 0.025 0.225 0.025 0.975]
m60,AquaticAnimal,1606,1606,[3],[0.025    0.348674 0.025    0.407675 0.025    0.975   ]
m61,AquaticAnimal,216,216,[3],[0.025    0.18743  0.025    0.443396 0.025    0.975   ]
m62,AquaticAnimal,241,241,[3],[0.025    0.131276 0.025    0.749178 0.025    0.975   ]
m63,AquaticAnimal,1112,1112,[3],[0.025    0.975    0.025    0.724541 0.025    0.777238]
m64,AquaticAnimal,247,247,[3],[0.025    0.975    0.025    0.545087 0.025    0.1789  ]
m65,AquaticAnimal,1004,1004,[3],[0.025    0.399816 0.025    0.604595 0.025    0.975   ]
m66,AquaticAnimal,4117,4117,[3],[0.025    0.445705 0.025    0.547553 0.025    0.975   ]
m67,AquaticAnimal,14000,14000,[3],[0.025    0.975    0.025    0.2497   0.025    0.388988]
m68,AquaticAnimal,553,553,[3],[0.025    0.975    0.025    0.278519 0.025    0.18743 ]
m69,AquaticAnimal,317,317,[3],[0.025    0.357325 0.025    0.264776 0.025    0.975   ]
m70,AquaticAnimal,320,320,[3],[0.025    0.454415 0.025    0.266076 0.025    0.975   ]
m71,AquaticAnimal,420,420,[3],[0.025    0.32599  0.025    0.371535 0.025    0.975   ]
m72,AquaticAnimal,331,331,[3],[0.025    0.456203 0.025    0.262828 0.025    0.975   ]
m73,AquaticAnimal,285,285,[3],[0.025    0.975    0.025    0.610865 0.025    0.376181]
